h,n,annuli,L,U,switch_width,margin_from_previous
676,1352,5,29929446797233,82898971717983,1607941615,52333264186572
677,1354,5,30126329867536,83539248964236,1607941615,52772641850448
678,1356,5,30324139144087,84183561868487,1607941615,53215109820150
679,1358,5,30522877444314,84831929637474,1607941615,53660684424174
680,1360,5,30722547589811,85484371538845,1607941615,54109382047664
681,1362,5,30923152406338,86140906901254,1607941615,54561219132508
682,1364,5,31124694723821,86801555114457,1607941615,55016212177434
683,1366,5,31327177376352,87466335629408,1607941615,55474377738106
684,1368,5,31530603202189,88135267958355,1607941615,55935732427220
685,1370,5,31734975043756,88808371674936,1607941615,56400292914600
686,1372,5,31940295747643,89485666414275,1607941615,56868075927294
687,1374,5,32146568164606,90167171873078,1607941615,57339098249670
688,1376,5,32353795149567,90852907809729,1607941615,57813376723512
689,1378,5,32561979561614,91542894044386,1607941615,58290928248116
690,1380,5,32771124264001,92237150459077,1607941615,58771769780386
691,1382,5,32981232124148,92935696997796,1607941615,59255918334930
692,1384,5,33192306013641,93638553666599,1607941615,59743390984156
693,1386,5,33404348808232,94345740533700,1607941615,60234204858368
694,1388,5,33617363387839,95057277729567,1607941615,60728377145862
695,1390,5,33831352636546,95773185447018,1607941615,61225925093022
696,1392,5,34046319442603,96493483941317,1607941615,61726866004416
697,1394,5,34262266698426,97218193530270,1607941615,62231217242892
698,1396,5,34479197300597,97947334594321,1607941615,62738996229674
699,1398,5,34697114149864,98680927576648,1607941615,63250220444458
700,1400,5,34916020151141,99418992983259,1607941615,63764907425508
701,1402,5,35135918213508,100161551383088,1607941615,64283074769752
702,1404,5,35356811250211,100908623408091,1607941615,64804740132878
703,1406,5,35578702178662,101660229753342,1607941615,65329921229430
704,1408,5,35801593920439,102416391177129,1607941615,65858635832904
705,1410,5,36025489401286,103177128501050,1607941615,66390901775844
706,1412,5,36250391551113,103942462610109,1607941615,66926736949938
707,1414,5,36476303303996,104712414452812,1607941615,67466159306114
708,1416,5,36703227598177,105487005041263,1607941615,68009186854636
709,1418,5,36931167376064,106266255451260,1607941615,68555837665200
710,1420,5,37160125584231,107050186822391,1607941615,69106129867030
711,1422,5,37390105173418,107838820358130,1607941615,69660081648974
712,1424,5,37621109098531,108632177325933,1607941615,70217711259600
713,1426,5,37853140318642,109430279057334,1607941615,70779037007292
714,1428,5,38086201796989,110233146948041,1607941615,71344077260346
715,1430,5,38320296500976,111040802458032,1607941615,71912850447066
716,1432,5,38555427402173,111853267111651,1607941615,72485375055860
717,1434,5,38791597476316,112670562497704,1607941615,73061669635336
718,1436,5,39028809703307,113492710269555,1607941615,73641752794398
719,1438,5,39267067067214,114319732145222,1607941615,74225643202342
720,1440,5,39506372556271,115151649907473,1607941615,74813359588952
721,1442,5,39746729162878,115988485403922,1607941615,75404920744596
722,1444,5,39988139883601,116830260547125,1607941615,76000345520322
723,1446,5,40230607719172,117676997314676,1607941615,76599652827954
724,1448,5,40474135674489,118528717749303,1607941615,77202861640188
725,1450,5,40718726758616,119385443958964,1607941615,77809990990688
726,1452,5,40964383984783,120247198116943,1607941615,78421059974182
727,1454,5,41211110370386,121114002461946,1607941615,79036087746558
728,1456,5,41458908936987,121985879298197,1607941615,79655093524960
729,1458,5,41707782710314,122862850995534,1607941615,80278096587884
730,1460,5,41957734720261,123744939989505,1607941615,80905116275274
731,1462,5,42208768000888,124632168781464,1607941615,81536171988618
732,1464,5,42460885590421,125524559938667,1607941615,82171283191044
733,1466,5,42714090531252,126422136094368,1607941615,82810469407416
